,Relationship,full_community_id_source,name_source,Ar_target,AtomicNumber_target,Density_target,MeltingPoint_target,Symbol_target,full_community_id_target,name_target
93,IS_COMPOSED_OF,719,C83500,1455,327,28,1455,58.6934,NICKEL,Ni
94,IS_COMPOSED_OF,719,C83500,630.5,331,51,630.5,121.76,ANTIMONY,Sb
95,IS_COMPOSED_OF,719,C83500,1414,333,14,1414,28.0855,SILICON,Si
96,IS_COMPOSED_OF,719,C83500,112.8,943,16,112.8,32.605,SULFUR ,S
97,IS_COMPOSED_OF,719,C83500,419.5,328,30,419.5,65.38,ZINC,Zn
98,IS_COMPOSED_OF,720,C83520,231.9,326,50,231.9,118.71,TIN,Sn
99,IS_COMPOSED_OF,720,C83520,327.5,329,82,327.5,207.2,LEAD,Pb
100,IS_COMPOSED_OF,720,C83520,231.9,326,50,231.9,118.71,TIN,Sn
101,IS_COMPOSED_OF,720,C83520,1085,319,29,1085,63.546,COPPER,Cu
102,IS_COMPOSED_OF,720,C83520,630.5,331,51,630.5,121.76,ANTIMONY,Sb
103,IS_COMPOSED_OF,720,C83520,327.5,329,82,327.5,207.2,LEAD,Pb
104,IS_COMPOSED_OF,720,C83520,1538,321,26,1538,55.845,IRON,Fe
105,IS_COMPOSED_OF,720,C83520,1455,327,28,1455,58.6934,NICKEL,Ni
106,IS_COMPOSED_OF,721,C83600,1085,319,29,1085,63.546,COPPER,Cu
107,IS_COMPOSED_OF,721,C83600,327.5,329,82,327.5,207.2,LEAD,Pb
108,IS_COMPOSED_OF,721,C83600,231.9,326,50,231.9,118.71,TIN,Sn
109,IS_COMPOSED_OF,721,C83600,419.5,328,30,419.5,65.38,ZINC,Zn
110,IS_COMPOSED_OF,721,C83600,327.5,329,82,327.5,207.2,LEAD,Pb
111,IS_COMPOSED_OF,721,C83600,1455,327,28,1455,58.6934,NICKEL,Ni
112,IS_COMPOSED_OF,721,C83600,630.5,331,51,630.5,121.76,ANTIMONY,Sb
113,IS_COMPOSED_OF,721,C83600,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
114,IS_COMPOSED_OF,721,C83600,1538,321,26,1538,55.845,IRON,Fe
115,IS_COMPOSED_OF,721,C83600,1414,333,14,1414,28.0855,SILICON,Si
116,IS_COMPOSED_OF,721,C83600,112.8,943,16,112.8,32.605,SULFUR ,S
117,IS_COMPOSED_OF,721,C83600,660.3,322,13,660.3,26.981539,ALUMINUM,Al
118,IS_COMPOSED_OF,721,C83600,1085,319,29,1085,63.546,COPPER,Cu
119,IS_COMPOSED_OF,721,C83600,419.5,328,30,419.5,65.38,ZINC,Zn
120,IS_COMPOSED_OF,721,C83600,231.9,326,50,231.9,118.71,TIN,Sn
121,IS_COMPOSED_OF,722,C83700,1085,319,29,1085,63.546,COPPER,Cu
122,IS_COMPOSED_OF,722,C83700,1455,327,28,1455,58.6934,NICKEL,Ni
123,IS_COMPOSED_OF,722,C83700,816.8,944,33,816.8,74.9216,ARSENIC,As
124,IS_COMPOSED_OF,722,C83700,1414,333,14,1414,28.0855,SILICON,Si
125,IS_COMPOSED_OF,722,C83700,327.5,329,82,327.5,207.2,LEAD,Pb
126,IS_COMPOSED_OF,722,C83700,1085,319,29,1085,63.546,COPPER,Cu
127,IS_COMPOSED_OF,722,C83700,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
128,IS_COMPOSED_OF,722,C83700,1246,330,25,1246,54.938044,MANGANESE,Mn
129,IS_COMPOSED_OF,722,C83700,1538,321,26,1538,55.845,IRON,Fe
130,IS_COMPOSED_OF,722,C83700,660.3,322,13,660.3,26.981539,ALUMINUM,Al
131,IS_COMPOSED_OF,722,C83700,419.5,328,30,419.5,65.38,ZINC,Zn
132,IS_COMPOSED_OF,722,C83700,231.9,326,50,231.9,118.71,TIN,Sn
133,IS_COMPOSED_OF,723,C83800,231.9,326,50,231.9,118.71,TIN,Sn
134,IS_COMPOSED_OF,723,C83800,1085,319,29,1085,63.546,COPPER,Cu
