,Relationship,Categorisation_source,Dimensions_source,Form_source,Free_of_source,Material_source,Specifications_source,Title_source,full_community_id_source,name_source,Ar_target,AtomicNumber_target,Category_target,Density_target,EDescription_target,GDescription_target,MeltingPoint_target,Series_target,Symbol_target,full_community_id_target,name_target
29,IS_COMPOSED_OF,Nonferrous Scrap - Red Metals,,with various types of insulation. To be sold on a sample or recovery basis,,Insulated Copper Wire Scrap,Nonferrous Scrap - Red Metals,Droid,Copper ,Wire ,,,,,,,,,,COPPER,COPPER
30,IS_PROCESSED_WITH,insulated wires; copper chlorides; unprepared tangled material; large motors; pyrophoric material; asbestos brake linings; furnace bottoms; high lead materials; graphite crucibles; and noxious and explosive materials.,,Nonferrous Scrap - Red Metals,insulated wires; copper chlorides; unprepared tangled material; large motors; pyrophoric material; asbestos brake linings; furnace bottoms; high lead materials; graphite crucibles; and noxious and explosive materials.,Copper-Bearing Scrap,,Drove,Irony brass and copper,Miscellaneous skimmings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
31,IS_PROCESSED_WITH,Nonferrous Scrap - Red Metals,Druid,Uncoated,,Insulated Copper Wire Scrap,Nonferrous Scrap - Red Metals,not smaller than No. 16 B & S wire gauge (unless smaller wire gauge is mutually agreed upon),Copper,Wire,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
32,IS_COMPOSED_OF,Nonferrous Scrap - Red Metals,Druid,Uncoated,,Insulated Copper Wire Scrap,Nonferrous Scrap - Red Metals,not smaller than No. 16 B & S wire gauge (unless smaller wire gauge is mutually agreed upon),Copper,Wire,,,,,,,,,,COPPER,COPPER
33,IS_EQUIVALENT_TO,semi-red brass castings (78% to 81% copper); railroad car boxes and other similar high-lead alloys; cocks and faucets; closed water meters; gates; pot pieces; ingots and burned brass; aluminum,Ebony,Made of copper,semi-red brass castings (78% to 81% copper); railroad car boxes and other similar high-lead alloys; cocks and faucets; closed water meters; gates; pot pieces; ingots and burned brass; aluminum,Composition or Red Brass,Nonferrous Scrap - Red Metals,No piece to measure more than 12� over any one part or weigh over 100 lbs.,Red Brass,Valves,,,BRONZE SCRAP EBONY AS PER ISRI,,Non-Ferrous,BRONZE SCRAP EBONY AS PER ISRI,,,,50050,ΣΚΡΑΠ ΜΠΡΟYNΤΖΟΣ
34,IS_PROCESSED_WITH,semi-red brass castings (78% to 81% copper); railroad car boxes and other similar high-lead alloys; cocks and faucets; closed water meters; gates; pot pieces; ingots and burned brass; aluminum,Ebony,Made of copper,semi-red brass castings (78% to 81% copper); railroad car boxes and other similar high-lead alloys; cocks and faucets; closed water meters; gates; pot pieces; ingots and burned brass; aluminum,Composition or Red Brass,Nonferrous Scrap - Red Metals,No piece to measure more than 12� over any one part or weigh over 100 lbs.,Red Brass,Valves,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
35,IS_COMPOSED_OF,semi-red brass castings (78% to 81% copper); railroad car boxes and other similar high-lead alloys; cocks and faucets; closed water meters; gates; pot pieces; ingots and burned brass; aluminum,Ebony,Made of copper,semi-red brass castings (78% to 81% copper); railroad car boxes and other similar high-lead alloys; cocks and faucets; closed water meters; gates; pot pieces; ingots and burned brass; aluminum,Composition or Red Brass,Nonferrous Scrap - Red Metals,No piece to measure more than 12� over any one part or weigh over 100 lbs.,Red Brass,Valves,,,,,,,,,,RED BRASS,RED BRASS
36,IS_PROCESSED_WITH,leaded brass attachments and have less than 0.2% alloyed lead or as agreed between buyer and seller.,,Alloyed with copper,leaded brass attachments and have less than 0.2% alloyed lead or as agreed between buyer and seller.,Lead-Free Bismuth Brass Solids,Nonferrous Scrap - Red Metals,Ebulent,Brass,Scrap castings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
37,IS_COMPOSED_OF,leaded brass attachments and have less than 0.2% alloyed lead or as agreed between buyer and seller.,,Alloyed with copper,leaded brass attachments and have less than 0.2% alloyed lead or as agreed between buyer and seller.,Lead-Free Bismuth Brass Solids,Nonferrous Scrap - Red Metals,Ebulent,Brass,Scrap castings,,,,,,,,,,LEAD-FREE BISMUTH BRASS,LEAD-FREE BISMUTH BRASS
38,IS_PROCESSED_WITH,Nonferrous Scrap - Red Metals,,Alloyed with copper,,Lead-Free Bismuth Brass Turnings,Nonferrous Scrap - Red Metals,Ecstatic,Brass,Scrap borings and turnings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
