,Relationship,Categorisation_source,Dimensions_source,Form_source,Free_of_source,Material_source,Specifications_source,Title_source,full_community_id_source,name_source,Ar_target,AtomicNumber_target,Category_target,Density_target,EDescription_target,GDescription_target,MeltingPoint_target,Series_target,Symbol_target,full_community_id_target,name_target
184,IS_COMPOSED_OF,Soldered material,,Clean,Soldered material,Zinc Die Cast Automotive Grilles,Nonferrous Scrap - Zinc,Scoot,Zinc ,Die castings automotive grilles ,,,,,,,,,,ZINC,ZINC
185,IS_COMPOSED_OF,Nonferrous Scrap - Zinc,,Clean,,,Nonferrous Scrap - Zinc,Score,Old Zinc Scrap,Zinc scrap (such as sheets,,,,,,,,,,ZINC,ZINC
186,IS_COMPOSED_OF,Corrosion ,,New pure zinc. To contain no foreign material or attachments.,Corrosion ,,Nonferrous Scrap - Zinc,Screen,New Zinc Clippings,Sheets or stampings ,,,,,,,,,,ZINC,ZINC
187,IS_COMPOSED_OF,Dirt,,Clean.To contain a maximum of 5% unmeltables such as free iron,Dirt,,Nonferrous Scrap - Zinc,Scribe,Crushed Clean Sorted Fragmentizer Die Cast Scrap,Fragmentizer Die Cast Scrap,,,,,,,,,,ZINC,ZINC
188,IS_COMPOSED_OF,Nonferrous Scrap - Zinc,,Material to contain about 55% zinc-bearing scrap. Other nonferrous metals such as aluminum,,,Nonferrous Scrap - Zinc,Scroll,Unsorted Zing Die Cast Scrap,Cast scrap produced from automobile fragmentizers,,,,,,,,,,ZINC,ZINC
189,IS_COMPOSED_OF,Nonferrous Scrap - Zinc,Scrub,Consists only of galvanizers unsweated zinc dross in slab form from hot dip galvanizing (Batch Process) with a minimum zinc content of 92% and shall be free of skimmings and tramp iron. Material from continuous galvanizing operation is not acceptable.,,,Nonferrous Scrap - Zinc,Broken pieces under 2� in diameter shall not exceed 10% of the weight of each shipment. Slabs shall not weigh over 100 pounds each.,Hot Dip Galvanizers Slab Zinc Dross (Batch Process),Dross in slab,,,,,,,,,,ZINC,ZINC
190,IS_COMPOSED_OF,Material to be free from drosses and to contain a minimum zinc content of 90%,,Melted zinc base die cast materials,Material to be free from drosses and to contain a minimum zinc content of 90%,,Nonferrous Scrap - Zinc,Scull,Zinc Die Cast Slabs or Pigs,Die cast materials in slabs or pigs,,,,,,,,,,ZINC,ZINC
191,IS_COMPOSED_OF,Skimmings,Seal,Unsweated zinc dross removed from the top of a continuous line galvanizing bath,Skimmings,,Nonferrous Scrap - Zinc,Not weighing in excess of 100 pounds each slab. Broken pieces under 2� in diameter shall not exceed 10% of the weight of each shipment.,Continuous Line Galvanizing Slab Zinc Top Dross,Dross,,,,,,,,,,ZINC,ZINC
192,IS_COMPOSED_OF,Skimmings,Seam,Unsweated zinc dross removed from the top of a continuous line galvanizing bath,Skimmings,,Nonferrous Scrap - Zinc,Not weighing in excess of 100 pounds each slab. Broken pieces under 2� in diameter shall not exceed 10% of the weight of each shipment.,Continuous Line Galvanizing Slab Zinc Bottom Dross,Dross,,,,,,,,,,ZINC,ZINC
193,IS_COMPOSED_OF,Corrosion or oxidation,Shelf,Metal skimmed from the top of pot of molten zinc die cast metal. Must be unsweated,Corrosion or oxidation,,Nonferrous Scrap - Zinc,Weighing not over 75 pounds each mold or mound.,Prime Zinc Die Cast Dross,Skimmings,,,,,,,,,,ZINC,ZINC
194,IS_COMPOSED_OF,Copper,,Clean,Copper,Magnesium Clips,Nonferrous Scrap - Magnesium,Wafer,Magnesium ,Clips,,,,,,,,,,MAGNESIUM,MAGNESIUM
195,IS_COMPOSED_OF,Brass,,Nonferrous Scrap - Magnesium,Brass,Magnesium Scrap,,Walnut,Magnesium ,Castings,,,,,,,,,,MAGNESIUM,MAGNESIUM
196,IS_COMPOSED_OF,Copper,,Clean ,Copper,Magnesium Engraver Plates,Nonferrous Scrap - Magnesium,Wine,Magnesium ,Engraver plates ,,,,,,,,,,MAGNESIUM,MAGNESIUM
197,IS_COMPOSED_OF,Foreign attachments,,Clean,Foreign attachments,Magnesium Dockboards,Nonferrous Scrap - Magnesium,Wood,Magnesium ,Dockboards,,,,,,,,,,MAGNESIUM,MAGNESIUM
198,IS_COMPOSED_OF,Nonferrous Scrap - Magnesium,,Nonferrous Scrap - Magnesium,,Magnesium Turnings,,World,Magnesium ,Turnings,,,,,,,,,,MAGNESIUM,MAGNESIUM
199,IS_COMPOSED_OF,Castings,,Clean. Nickel minimum 99%; Cobalt maximum 0.25%; Copper maximum 0.50%.,Castings,New Nickel Scrap,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Aroma,Wrought nickel ,Sheet,,,,,,,,,,NICKEL,NICKEL
200,IS_COMPOSED_OF,Castings,,Old and/or new. Material to contain a minimum of 98% nickel; Copper maximum 0.50%.,Castings,,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Burly,Old Nickel Scrap,Sheet,,,,,,,,,,NICKEL,NICKEL
201,IS_COMPOSED_OF,Foreign attachments or any other contamination,,Clean,Foreign attachments or any other contamination,New Cupro Nickel Clips and Solids,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Dandy,Cupro nickel ,Tube,,,,,,,,,,CUPRO NICKEL,CUPRO NICKEL
202,IS_COMPOSED_OF,Foreign attachments and all other contamination.,,Old,Foreign attachments and all other contamination.,Cupro Nickel Solids,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Daunt,Cupro nickel ,Tube,,,,,,,,,,CUPRO NICKEL,CUPRO NICKEL
203,IS_COMPOSED_OF,Nonferrous Scrap - Nickel/Stainless/Hi Temp,,Clean,,Cupro Nickel Spinnings,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Decoy,Cupro nickel ,Spinnings,,,,,,,,,,CUPRO NICKEL,CUPRO NICKEL
204,IS_COMPOSED_OF,Trimmed seams and edges and all other contamination.,,Consist of segregated (normally accepted analysis grades) either 70/30,Trimmed seams and edges and all other contamination.,Soldered Cupro Nickel Solids,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Delta,Cupro nickel ,Solids ,,,,,,,,,,CUPRO NICKEL,CUPRO NICKEL
205,IS_COMPOSED_OF,Nonferrous Scrap - Nickel/Stainless/Hi Temp,,Consist of miscellaneous scrap in which the basic elements,,null,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Depth,Copper/Nickel ,Miscellaneous scrap (e.g. peelings,,,,,,,,,,NICKEL-COPPER,NICKEL-COPPER
206,IS_COMPOSED_OF,Foreign attachments or all other contamination.,,Clean,Foreign attachments or all other contamination.,New R-Monel Clippings and Solids,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Hitch,R-Monel,Sheet,,,,,,,,,,R-MONEL,R-MONEL
207,IS_COMPOSED_OF,Foreign attachments or all other contamination.,,Clean,Foreign attachments or all other contamination.,New R-Monel Clippings and Solids,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Hitch,R-Monel,Sheet,,,,,,,,,,MONEL,MONEL
208,IS_COMPOSED_OF,Foreign attachments or all other contamination.,,New,Foreign attachments or all other contamination.,New Mixed Monel Solids and Clippings,Nonferrous Scrap - Nickel/Stainless/Hi Temp,House,R-Monel/K-Monel,Solids and Clippings,,,,,,,,,,MONEL,MONEL
209,IS_COMPOSED_OF,Soldered,,Clean,Soldered,Old Monel Sheet and Solids,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Ideal,R-Monel/K-Monel,Solids (e.g. sheet,,,,,,,,,,MONEL,MONEL
210,IS_COMPOSED_OF,Nonferrous Scrap - Nickel/Stainless/Hi Temp,,Clean ,,K-Monel Solids,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Indian,K-Monel,Solids,,,,,,,,,,K-MONEL,K-MONEL
211,IS_COMPOSED_OF,Nonferrous Scrap - Nickel/Stainless/Hi Temp,,Clean ,,K-Monel Solids,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Indian,K-Monel,Solids,,,,,,,,,,MONEL,MONEL
212,IS_COMPOSED_OF,Trimmed seams and edges,,Consist of soldered and/or brazed miscellaneous grades of Monel alloys in either wrought or cast form.,Trimmed seams and edges,Soldered Monel Sheet and Solids,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Junto,Monel ,Solids,,,,,,,,,,MONEL,MONEL
213,IS_COMPOSED_OF,Foreign attachments or any other contamination,,Shall consist of various types of clean Monel castings,Foreign attachments or any other contamination,Monel Castings,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Lemon,Monel ,Castings,,,,,,,,,,MONEL,MONEL
214,IS_COMPOSED_OF,Nonferrous Scrap - Nickel/Stainless/Hi Temp,,Shall consist of mixed Monel turnings and borings containing a minimum of 60% nickel content,,Monel Turnings,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Lemur,Monel ,Turnings,,,,,,,,,,MONEL,MONEL
215,IS_COMPOSED_OF,Foreign attachments and other contamination.,,Consist of all types of clean AISI Series Stainless Steel Scrap Solids,Foreign attachments and other contamination.,200 Series Stainless Steel Scrap Solids,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Pekoe,Stainless Steel,Scrap Solids ,,,,,,,,,,STAINLESS STEEL,STAINLESS STEEL
216,IS_COMPOSED_OF,Harmful contaminants,,Consist of clean 18-8 type stainless steel clips and solids containing a minimum 7% nickel,Harmful contaminants,Stainless Steel Scrap,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Sabot,Stainless Steel,Clips and Solids ,,,,,,,,,,STAINLESS STEEL,STAINLESS STEEL
217,IS_COMPOSED_OF,Nonferrous metals,,Consist of clean 18-8 type stainless steel turnings containing a minimum 7% nickel and 16% chrome,Nonferrous metals,Stainless Steel Turnings,Nonferrous Scrap - Nickel/Stainless/Hi Temp,Ultra,Stainless Steel,Turnings,,,,,,,,,,STAINLESS STEEL,STAINLESS STEEL
218,IS_COMPOSED_OF,Ferrous Scrap ,200,,,No. 1 Heavy Melting Steel,Ferrous Scrap ,1/4 inch and over in thickness. Individual pieces not over 60 x 24 inches (charging box size),Wrougt iron and/or steel,Prepared in a manner to insure compact charging.,,,,,,,,,,WROUGHT IRON,WROUGHT IRON
219,IS_COMPOSED_OF,Ferrous Scrap ,200,,,No. 1 Heavy Melting Steel,Ferrous Scrap ,1/4 inch and over in thickness. Individual pieces not over 60 x 24 inches (charging box size),Wrougt iron and/or steel,Prepared in a manner to insure compact charging.,,,,,,,,,,STEEL,STEEL
220,IS_COMPOSED_OF,Ferrous Scrap ,201,,,No. 1 Heavy Melting Steel 3 feet x 18 inches,Ferrous Scrap ,1/4 inch and over in thickness. Individual pieces not over 36 x 18 inches (charging box size),Wrougt iron and/or steel,Prepared in a manner to insure compact charging.,,,,,,,,,,WROUGHT IRON,WROUGHT IRON
221,IS_COMPOSED_OF,Ferrous Scrap ,201,,,No. 1 Heavy Melting Steel 3 feet x 18 inches,Ferrous Scrap ,1/4 inch and over in thickness. Individual pieces not over 36 x 18 inches (charging box size),Wrougt iron and/or steel,Prepared in a manner to insure compact charging.,,,,,,,,,,STEEL,STEEL
222,IS_COMPOSED_OF,Ferrous Scrap ,202,,,No. 1 Heavy Melting Steel 5 feet x 18 inches,Ferrous Scrap ,1/4 inch and over in thickness. Individual pieces not over 60 x 18 inches (charging box size),Wrougt iron and/or steel,Prepared in a manner to insure compact charging.,,,,,,,,,,WROUGHT IRON,WROUGHT IRON
223,IS_COMPOSED_OF,Ferrous Scrap ,202,,,No. 1 Heavy Melting Steel 5 feet x 18 inches,Ferrous Scrap ,1/4 inch and over in thickness. Individual pieces not over 60 x 18 inches (charging box size),Wrougt iron and/or steel,Prepared in a manner to insure compact charging.,,,,,,,,,,STEEL,STEEL
224,IS_COMPOSED_OF,Ferrous Scrap ,203,,,No. 2 Heavy Melting Steel,Ferrous Scrap ,1/8 inch and over in thickness,Wrougt iron and steel ,Black and galvanized. Charging box size to include material not suitable as No. 1 heavy melting steel. Prepared in a manner to insure compact charging.,,,,,,,,,,WROUGHT IRON,WROUGHT IRON
225,IS_COMPOSED_OF,Ferrous Scrap ,203,,,No. 2 Heavy Melting Steel,Ferrous Scrap ,1/8 inch and over in thickness,Wrougt iron and steel ,Black and galvanized. Charging box size to include material not suitable as No. 1 heavy melting steel. Prepared in a manner to insure compact charging.,,,,,,,,,,STEEL,STEEL
226,IS_COMPOSED_OF,Ferrous Scrap ,204,,,No. 2 Heavy Melting Steel,Ferrous Scrap ,Maximum size 36 x18 inches,Wrougt iron and steel ,Black and galvanized. May include all automobile scrap properly prepared.,,,,,,,,,,WROUGHT IRON,WROUGHT IRON
227,IS_COMPOSED_OF,Ferrous Scrap ,204,,,No. 2 Heavy Melting Steel,Ferrous Scrap ,Maximum size 36 x18 inches,Wrougt iron and steel ,Black and galvanized. May include all automobile scrap properly prepared.,,,,,,,,,,STEEL,STEEL
228,IS_COMPOSED_OF,Sheet iron or thin gauged material,205,,Sheet iron or thin gauged material,No. 2 Heavy Melting Steel 3 feet x 18 inches,Ferrous Scrap ,Maximum size 36 x18 inches,Wrougt iron and steel ,Black and galvanized. May include all automobile scrap properly prepared.,,,,,,,,,,WROUGHT IRON,WROUGHT IRON
229,IS_COMPOSED_OF,Sheet iron or thin gauged material,205,,Sheet iron or thin gauged material,No. 2 Heavy Melting Steel 3 feet x 18 inches,Ferrous Scrap ,Maximum size 36 x18 inches,Wrougt iron and steel ,Black and galvanized. May include all automobile scrap properly prepared.,,,,,,,,,,STEEL,STEEL
230,IS_COMPOSED_OF,Sheet iron or thin gauged material,206,,Sheet iron or thin gauged material,No. 2 Heavy Melting Steel 5 feet x 18 inches,Ferrous Scrap ,Maximum size 60 x18 inches,Wrougt iron and steel ,Black and galvanized. May include all automobile scrap properly prepared.,,,,,,,,,,WROUGHT IRON,WROUGHT IRON
231,IS_COMPOSED_OF,Sheet iron or thin gauged material,206,,Sheet iron or thin gauged material,No. 2 Heavy Melting Steel 5 feet x 18 inches,Ferrous Scrap ,Maximum size 60 x18 inches,Wrougt iron and steel ,Black and galvanized. May include all automobile scrap properly prepared.,,,,,,,,,,STEEL,STEEL
232,IS_COMPOSED_OF,Metal coated,207,Clean steel scrap,Metal coated,No. 1 Busheling,Ferrous Scrap ,Maximum size 2 feet by 5 feet,Steel,Sheet,,,,,,,,,,STEEL,STEEL
233,IS_COMPOSED_OF,Metal coated,208,Compressed or hand bundled,Metal coated,No. 1 Bundles,Ferrous Scrap ,Weighing not less than 75 pounds per cubic foot.,Black steel ,Sheet,,,,,,,,,,STEEL,STEEL
234,IS_COMPOSED_OF,Ferrous Scrap ,209,,,No. 2 Bundles,Ferrous Scrap ,Weighing not less than 75 pounds per cubic foot,Steel,Old black and galvanized hydraulically compressed to charging box size. May not include tin or lead-coated material or vitreous enameled material.,,,,,,,,,,STEEL,STEEL
235,IS_COMPOSED_OF,Ferrous Scrap ,210,,,Shredded Scrap,Ferrous Scrap ,Average density 50 pounds per cubic foot.,Iron and Steel ,Homogeneous,,,,,,,,,,IRON,IRON
236,IS_COMPOSED_OF,Ferrous Scrap ,210,,,Shredded Scrap,Ferrous Scrap ,Average density 50 pounds per cubic foot.,Iron and Steel ,Homogeneous,,,,,,,,,,STEEL,STEEL
237,IS_COMPOSED_OF,Ferrous Scrap ,211,,,Shredded Scrap,Ferrous Scrap ,Average density 70 pounds per cubic foot.,Iron and Steel ,Homogeneous,,,,,,,,,,IRON,IRON
238,IS_COMPOSED_OF,Ferrous Scrap ,211,,,Shredded Scrap,Ferrous Scrap ,Average density 70 pounds per cubic foot.,Iron and Steel ,Homogeneous,,,,,,,,,,STEEL,STEEL
239,IS_COMPOSED_OF,Ferrous Scrap ,212,Ferrous Scrap ,,Shredded Clippings,,Material should have an average density of 60 pounds per cubic foot,1000 series carbon steel ,Clippings or sheets,,,,,,,,,,STEEL,STEEL
240,IS_COMPOSED_OF,Other non-metallics,213,,Other non-metallics,Steel Can Bundles,Ferrous Scrap ,Weighing not less than 75 pounds per cubic foot,Steel,Scrap compressed to charging box size. Cans may be baled without removal of paper labels. May include up to 5 gallon tin coated containers.,,,,,,,,,,STEEL,STEEL
241,IS_COMPOSED_OF,Ferrous Scrap ,214,Compressed to charging box size. May include all coated ferrous scrap not suitable for inclusion in No. 2 bundles,,No. 3 Bundles,Ferrous Scrap ,Weighing not less than 75 pounds per cubic foot. ,Steel,Sheet,,,,,,,,,,STEEL,STEEL
242,IS_COMPOSED_OF,Ferrous Scrap ,215,Compressed to charging box size. Processed through a recognized garbage incinerator. ,,Incinerator Bundles,Ferrous Scrap ,Weighing not less than 75 pounds per cubic foot,Tin,Cans,,,,,,,,,,TIN,TIN
243,IS_COMPOSED_OF,Ferrous Scrap ,216,Compressed or hand bundled,,Terne Plate Bundles,Ferrous Scrap ,weighing not less than 75 pounds per cubic foot.,Terne,Plate sheet,,,,,,,,,,TERNE,TERNE
244,IS_COMPOSED_OF,All metal-coated material,217,,All metal-coated material,Bundled No. 1 Steel,Ferrous Scrap ,1/8 inch or over in thickness and weighing not less than 75 pounds per cubic foot,Wrought iron and/or steel ,Compressed to charging box size,,,,,,,,,,STEEL,STEEL
245,IS_COMPOSED_OF,All metal-coated material,217,,All metal-coated material,Bundled No. 1 Steel,Ferrous Scrap ,1/8 inch or over in thickness and weighing not less than 75 pounds per cubic foot,Wrought iron and/or steel ,Compressed to charging box size,,,,,,,,,,WROUGHT IRON,WROUGHT IRON
246,IS_COMPOSED_OF,All coated material,218,,All coated material,Bundled No. 2 Steel,Ferrous Scrap ,1/8 inch and over in thickness and weighing not less than 75 pounds per cubic foot.,Wrought iron and/or steel ,Black or galvanized. Compressed to charging box size. Auto body and fender stock,,,,,,,,,,STEEL,STEEL
247,IS_COMPOSED_OF,All coated material,218,,All coated material,Bundled No. 2 Steel,Ferrous Scrap ,1/8 inch and over in thickness and weighing not less than 75 pounds per cubic foot.,Wrought iron and/or steel ,Black or galvanized. Compressed to charging box size. Auto body and fender stock,,,,,,,,,,WROUGHT IRON,WROUGHT IRON
248,IS_COMPOSED_OF,Iron borings,,Clean. May not include badly rusted or corroded stock.,Iron borings,Machine Shop Turnings,Ferrous Scrap ,219,Wrought Iron or steel,Turnings,,,,,,,,,,WROUGHT IRON,WROUGHT IRON
249,IS_COMPOSED_OF,Iron borings,,Clean. May not include badly rusted or corroded stock.,Iron borings,Machine Shop Turnings,Ferrous Scrap ,219,Wrought Iron or steel,Turnings,,,,,,,,,,STEEL,STEEL
250,IS_COMPOSED_OF,Iron borings,,Clean. May not include badly rusted or corroded stock.,Iron borings,Machine Shop Turnings and Iron Borings,Ferrous Scrap ,220,Wrought Iron or steel,Trunings and borings (iron),,,,,,,,,,WROUGHT IRON,WROUGHT IRON
251,IS_COMPOSED_OF,Iron borings,,Clean. May not include badly rusted or corroded stock.,Iron borings,Machine Shop Turnings and Iron Borings,Ferrous Scrap ,220,Wrought Iron or steel,Trunings and borings (iron),,,,,,,,,,STEEL,STEEL
252,IS_COMPOSED_OF,Iron borings,,Clean. May not include badly rusted or corroded stock.,Iron borings,Machine Shop Turnings and Iron Borings,Ferrous Scrap ,220,Wrought Iron or steel,Trunings and borings (iron),,,,,,,,,,IRON,IRON
253,IS_COMPOSED_OF,Springy,,Clean. May include any such material whether resulting from crushing,Springy,,Ferrous Scrap ,221,Shoveling Turnings,Turnings,,,,,,,,,,STEEL,STEEL
254,IS_COMPOSED_OF,Springy,,Clean. May include any such material whether resulting from crushing,Springy,,Ferrous Scrap ,221,Shoveling Turnings,Turnings,,,,,,,,,,WROUGHT IRON,WROUGHT IRON
255,IS_COMPOSED_OF,Springy,,Clean. May include any such material whether resulting from crushing,Springy,,Ferrous Scrap ,222,Shoveling Turnings and Iron Borings,Turnings,,,,,,,,,,STEEL,STEEL
256,IS_COMPOSED_OF,Springy,,Clean. May include any such material whether resulting from crushing,Springy,,Ferrous Scrap ,222,Shoveling Turnings and Iron Borings,Turnings,,,,,,,,,,IRON,IRON
257,IS_COMPOSED_OF,Springy,,Clean. May include any such material whether resulting from crushing,Springy,,Ferrous Scrap ,222,Shoveling Turnings and Iron Borings,Turnings,,,,,,,,,,WROUGHT IRON,WROUGHT IRON
258,IS_COMPOSED_OF,Steel turnings,,Clean,Steel turnings,Iron Borings,Ferrous Scrap ,223,Cast Iron or malleable iron ,Borings and drillings ,,,,,,,,,,CAST IRON,CAST IRON
259,IS_COMPOSED_OF,Steel turnings,,Clean,Steel turnings,Iron Borings,Ferrous Scrap ,223,Cast Iron or malleable iron ,Borings and drillings ,,,,,,,,,,MALLEABLE IRON,MALLEABLE IRON
260,IS_COMPOSED_OF,Ferrous Scrap ,,Ferrous Scrap ,,Briquetted Iron Borings,,226,Iron,Borings,,,,,,,,,,IRON,IRON
261,IS_COMPOSED_OF,Ferrous Scrap ,,Ferrous Scrap ,,Briquetted Steel Turnings,,227,Steel,Turnings,,,,,,,,,,STEEL,STEEL
262,IS_COMPOSED_OF,Stove plate,252,Clean ,Stove plate,Cupola Cast,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,Cupola size,Cast iron ,Columns,,,,,,,,,,CAST IRON,CAST IRON
263,IS_COMPOSED_OF,Burnt iron,253,,Burnt iron,Charging Box Cast,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,Not over 60 inches in length or 30 inches in width,Cast iron ,Clean,,,,,,,,,,CAST IRON,CAST IRON
264,IS_COMPOSED_OF,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,254,,,Heavy Breakable Cast,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,Charging box size or weighing more than 500 pounds,Cast iron ,May include cylinders and driving wheel centers. May include steel which does not exceed 10 percent of the casting by weight,,,,,,,,,,CAST IRON,CAST IRON
265,IS_COMPOSED_OF,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,,Hammer Block or Bases,,255,Cast iron ,Hammer block or bases,,,,,,,,,,CAST IRON,CAST IRON
266,IS_COMPOSED_OF,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,,May include sash weights or window weights.,,Burnt Iron,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,256,Burnt cast iron ,Stove parts,,,,,,,,,,CAST IRON,CAST IRON
267,IS_COMPOSED_OF,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,257,,,Mixed Cast,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,Dimensions not over 24 inches x 30 inches and no piece over 150 pounds in weight,Cast iron ,May include all grades of cast iron except burnt iron.,,,,,,,,,,CAST IRON,CAST IRON
268,IS_COMPOSED_OF,Malleable and steel parts,,,Malleable and steel parts,,,258,Stove Plate,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,,,,,,,,,,CAST IRON,CAST IRON
269,IS_COMPOSED_OF,Cast iron and steel parts and other foreign material,,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,Cast iron and steel parts and other foreign material,,,264,Malleable,Malleable parts of automobiles,,,,,,,,,,MALLEABLE IRON,MALLEABLE IRON
270,IS_COMPOSED_OF,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,265,Broken ,,Broken Ingot Molds and Stools,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,Maximum size 2 feet x 3 feet x 5 feet,Cast iron ,Ingot molds and stools,,,,,,,,,,CAST IRON,CAST IRON
271,IS_COMPOSED_OF,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,,Unbroken ,,Unbroken Ingot Molds and Stools,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades,266,Cast iron ,Ingot molds and stools,,,,,,,,,,CAST IRON,CAST IRON
272,IS_COMPOSED_OF,Steel turnings,,Containing not more than 1 percent oil,Steel turnings,No. 1 Chemical Borings,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Special Boring Grades,267,Cast or malleable iron ,Borings and drillings ,,,,,,,,,,MALLEABLE IRON,MALLEABLE IRON
273,IS_COMPOSED_OF,Steel turnings,,Containing not more than 1 percent oil,Steel turnings,No. 1 Chemical Borings,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Special Boring Grades,267,Cast or malleable iron ,Borings and drillings ,,,,,,,,,,CAST IRON,CAST IRON
274,IS_COMPOSED_OF,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Special Boring Grades,,Heated,,Briquetted Cast Iron Borings,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Special Boring Grades,268,Cast iron ,Borings,,,,,,,,,,CAST IRON,CAST IRON
275,IS_COMPOSED_OF,Steel and nonferrous material,,hydraulically compressed into a cohesive solid,Steel and nonferrous material,Briquetted Cast Iron Borings,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Special Boring Grades,269,Cast iron ,Boring briquettes,,,,,,,,,,CAST IRON,CAST IRON
276,IS_COMPOSED_OF,Steel turnings,,Clean ,Steel turnings,Malleable Borings,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Special Boring Grades,270,Malleable iron ,Borings and drillings ,,,,,,,,,,MALLEABLE IRON,MALLEABLE IRON
277,IS_COMPOSED_OF,Steel turnings,,Nea clean,Steel turnings,No. 2 Chemical Borings,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Special Boring Grades,271,Cast or malleable iron ,Borings and drillings ,,,,,,,,,,MALLEABLE IRON,MALLEABLE IRON
278,IS_COMPOSED_OF,Steel turnings,,Nea clean,Steel turnings,No. 2 Chemical Borings,Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Special Boring Grades,271,Cast or malleable iron ,Borings and drillings ,,,,,,,,,,CAST IRON,CAST IRON
