,Relationship,name_source,Categorisation_target,Category_target,Description_target,Dimensions_target,EDescription_target,Form_target,Free_of_target,GDescription_target,Material_target,Specifications_target,Title_target,full_community_id_target,name_target
71,IS_PROCESSED_WITH,Magnetic Separation,,ΣΚΡΑΠ ΑΥΤΟΚΙΝ. ΓΙΑ ΑΛΕΣΗ (ΥΛΗ),ΣΚΡΑΠ ΑΥΤΟΚΙΝ. ΓΙΑ ΑΛΕΣΗ (ΥΛΗ),,,,,,,,,40002,Ferrous
72,IS_PROCESSED_WITH,Magnetic Separation,,ΥΛΙΚΑ ΜΗΧΑΝΙΚΗΣ ΑΠΟΣΥΝΑΡΜΟΛΟΓΗΣΗΣ (ΥΛΗ),ΥΛΙΚΑ ΜΗΧΑΝΙΚΗΣ ΑΠΟΣΥΝΑΡΜΟΛΟΓΗΣΗΣ (ΥΛΗ),,,,,,,,,40001,Ferrous
73,IS_PROCESSED_WITH,Magnetic Separation,,ΠΛΥΝΤΗΡΙΑ ΑΠΟΡΡΥΠΑΣΜΕΝΑ (ΥΛΗ),ΠΛΥΝΤΗΡΙΑ ΑΠΟΡΡΥΠΑΣΜΕΝΑ (ΥΛΗ),,,,,,,,,40006,Ferrous
74,IS_PROCESSED_WITH,Magnetic Separation,,ΑΠΟΡΡΥΠΑΣΜΕΝΑ ΨΥΓΕΙΑ (ΥΛΗ),ΑΠΟΡΡΥΠΑΣΜΕΝΑ ΨΥΓΕΙΑ (ΥΛΗ),,,,,,,,,40240,Ferrous
75,IS_PROCESSED_WITH,Magnetic Separation,,PLASTIC SCRAP (RAW MATERIAL),,,Non-Ferrous,,,PLASTIC SCRAP (RAW MATERIAL),,,,40020,ΣΚΡΑΠ ΠΛΑΣΤΙΚΟΥ (ΥΛΗ)
76,IS_PROCESSED_WITH,Magnetic Separation,,ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Β (ΥΛΗ ),ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Β (ΥΛΗ ),,,,,,,,,40012,Ferrous
77,IS_PROCESSED_WITH,Magnetic Separation,,CAR BUMPERS (RAW MATERIAL),,,Non-Ferrous,,,CAR BUMPERS (RAW MATERIAL),,,,40021,ΠΡΟΦΥΛΑΚΤΗΡΕΣ ΑΥΤΟΚΙΝΗΤΩΝ ( ΥΛΗ )
78,IS_PROCESSED_WITH,Magnetic Separation,,ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Α (ΥΛΗ ),ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Α (ΥΛΗ ),,,,,,,,,40011,Ferrous
79,IS_PROCESSED_WITH,Magnetic Separation,,ΘΕΡΜΟΣΙΦΩΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΟΙ (ΥΛΗ),ΘΕΡΜΟΣΙΦΩΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΟΙ (ΥΛΗ),,,,,,,,,40004,Ferrous
80,IS_PROCESSED_WITH,Magnetic Separation,,ALUMINUM SCRAP MIXED (RAW MATERIAL),,,Non-Ferrous,,,ALUMINUM SCRAP MIXED (RAW MATERIAL),,,,40017,ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΑΝΑΜΕΙΚΤΟ (ΥΛΗ )
81,IS_PROCESSED_WITH,Magnetic Separation,,ΠΡΟΚΑΤΕΡΓΑΣΜΕΝΑ ΥΛΙΚΑ ΜΗΧΑΝ.ΑΠΟΣΥΝ(ΥΛΗ),ΠΡΟΚΑΤΕΡΓΑΣΜΕΝΑ ΥΛΙΚΑ ΜΗΧΑΝ.ΑΠΟΣΥΝ(ΥΛΗ),,,,,,,,,40008,Ferrous
82,IS_PROCESSED_WITH,Magnetic Separation,,ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ),ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ),,,,,,,,,40000,Ferrous
83,IS_PROCESSED_WITH,Magnetic Separation,,ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Γ (ΥΛΗ ),ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Γ (ΥΛΗ ),,,,,,,,,40009,Ferrous
84,PRODUCES,Eddy Current Separation,Radioactive material,,,,,Shall be made up of a combination of the nonferrous metals – aluminum,Radioactive material,,,Nonferrous Scrap - Aluminum,Zorba,Shredded Nonferrous Scrap (predominantly aluminum),Nonferrous Scrap
85,IS_PROCESSED_WITH,Eddy Current Separation,,ΘΕΡΜΟΣΙΦΩΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΟΙ (ΥΛΗ),ΘΕΡΜΟΣΙΦΩΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΟΙ (ΥΛΗ),,,,,,,,,40004,Ferrous
86,IS_PROCESSED_WITH,Eddy Current Separation,,ALUMINUM SCRAP TAINT TABOR(RAW MATERIAL),,,Non-Ferrous,,,ALUMINUM SCRAP TAINT TABOR(RAW MATERIAL),,,,40016,ΣΚΡΑΠ ΣΚΕΥΗ - ΔΙΑΦΟΡΑ ΒΑΜΜΕΝΑ ΥΛΗ
87,IS_PROCESSED_WITH,Eddy Current Separation,,PLASTIC SCRAP (RAW MATERIAL),,,Non-Ferrous,,,PLASTIC SCRAP (RAW MATERIAL),,,,40020,ΣΚΡΑΠ ΠΛΑΣΤΙΚΟΥ (ΥΛΗ)
88,IS_PROCESSED_WITH,Eddy Current Separation,,CAR BUMPERS (RAW MATERIAL),,,Non-Ferrous,,,CAR BUMPERS (RAW MATERIAL),,,,40021,ΠΡΟΦΥΛΑΚΤΗΡΕΣ ΑΥΤΟΚΙΝΗΤΩΝ ( ΥΛΗ )
89,IS_PROCESSED_WITH,Eddy Current Separation,,ΗΛΕΚΤΡ.ΣΥΣΚ. ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ ΧΥΔΗΝ (ΥΛΗ),ΗΛΕΚΤΡ.ΣΥΣΚ. ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ ΧΥΔΗΝ (ΥΛΗ),,,,,,,,,40005,Ferrous
90,IS_PROCESSED_WITH,Eddy Current Separation,,ΣΚΡΑΠ ΑΥΤΟΚΙΝ. ΓΙΑ ΑΛΕΣΗ (ΥΛΗ),ΣΚΡΑΠ ΑΥΤΟΚΙΝ. ΓΙΑ ΑΛΕΣΗ (ΥΛΗ),,,,,,,,,40002,Ferrous
91,IS_PROCESSED_WITH,Eddy Current Separation,,ΠΡΟΚΑΤΕΡΓΑΣΜΕΝΑ ΥΛΙΚΑ ΜΗΧΑΝ.ΑΠΟΣΥΝ(ΥΛΗ),ΠΡΟΚΑΤΕΡΓΑΣΜΕΝΑ ΥΛΙΚΑ ΜΗΧΑΝ.ΑΠΟΣΥΝ(ΥΛΗ),,,,,,,,,40008,Ferrous
92,IS_PROCESSED_WITH,Eddy Current Separation,,ΥΛΙΚΑ ΜΗΧΑΝΙΚΗΣ ΑΠΟΣΥΝΑΡΜΟΛΟΓΗΣΗΣ (ΥΛΗ),ΥΛΙΚΑ ΜΗΧΑΝΙΚΗΣ ΑΠΟΣΥΝΑΡΜΟΛΟΓΗΣΗΣ (ΥΛΗ),,,,,,,,,40001,Ferrous
