,Relationship,name,full_community_id,"""Ar""","""AtomicNumber""","""Density""","""MeltingPoint""","""Symbol""","""full_community_id""","""name"""
115,IS_COMPOSED_OF,C83600,721,1414,333,14,1414,28.0855,SILICON,Si
116,IS_COMPOSED_OF,C83600,721,112.8,943,16,112.8,32.605,SULFUR ,S
117,IS_COMPOSED_OF,C83600,721,660.3,322,13,660.3,26.981539,ALUMINUM,Al
118,IS_COMPOSED_OF,C83600,721,1085,319,29,1085,63.546,COPPER,Cu
119,IS_COMPOSED_OF,C83600,721,419.5,328,30,419.5,65.38,ZINC,Zn
120,IS_COMPOSED_OF,C83600,721,231.9,326,50,231.9,118.71,TIN,Sn
121,IS_COMPOSED_OF,C83700,722,1085,319,29,1085,63.546,COPPER,Cu
122,IS_COMPOSED_OF,C83700,722,1455,327,28,1455,58.6934,NICKEL,Ni
123,IS_COMPOSED_OF,C83700,722,816.8,944,33,816.8,74.9216,ARSENIC,As
124,IS_COMPOSED_OF,C83700,722,1414,333,14,1414,28.0855,SILICON,Si
125,IS_COMPOSED_OF,C83700,722,327.5,329,82,327.5,207.2,LEAD,Pb
126,IS_COMPOSED_OF,C83700,722,1085,319,29,1085,63.546,COPPER,Cu
127,IS_COMPOSED_OF,C83700,722,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
128,IS_COMPOSED_OF,C83700,722,1246,330,25,1246,54.938044,MANGANESE,Mn
129,IS_COMPOSED_OF,C83700,722,1538,321,26,1538,55.845,IRON,Fe
130,IS_COMPOSED_OF,C83700,722,660.3,322,13,660.3,26.981539,ALUMINUM,Al
131,IS_COMPOSED_OF,C83700,722,419.5,328,30,419.5,65.38,ZINC,Zn
132,IS_COMPOSED_OF,C83700,722,231.9,326,50,231.9,118.71,TIN,Sn
133,IS_COMPOSED_OF,C83800,723,231.9,326,50,231.9,118.71,TIN,Sn
134,IS_COMPOSED_OF,C83800,723,1085,319,29,1085,63.546,COPPER,Cu
135,IS_COMPOSED_OF,C83800,723,419.5,328,30,419.5,65.38,ZINC,Zn
136,IS_COMPOSED_OF,C83800,723,327.5,329,82,327.5,207.2,LEAD,Pb
137,IS_COMPOSED_OF,C83800,723,1085,319,29,1085,63.546,COPPER,Cu
138,IS_COMPOSED_OF,C83800,723,231.9,326,50,231.9,118.71,TIN,Sn
139,IS_COMPOSED_OF,C83800,723,419.5,328,30,419.5,65.38,ZINC,Zn
140,IS_COMPOSED_OF,C83800,723,1538,321,26,1538,55.845,IRON,Fe
141,IS_COMPOSED_OF,C83800,723,112.8,943,16,112.8,32.605,SULFUR ,S
142,IS_COMPOSED_OF,C83800,723,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
143,IS_COMPOSED_OF,C83800,723,660.3,322,13,660.3,26.981539,ALUMINUM,Al
144,IS_COMPOSED_OF,C83800,723,1414,333,14,1414,28.0855,SILICON,Si
145,IS_COMPOSED_OF,C83800,723,1455,327,28,1455,58.6934,NICKEL,Ni
146,IS_COMPOSED_OF,C83800,723,327.5,329,82,327.5,207.2,LEAD,Pb
147,IS_COMPOSED_OF,C83800,723,630.5,331,51,630.5,121.76,ANTIMONY,Sb
148,IS_COMPOSED_OF,C83810,724,231.9,326,50,231.9,118.71,TIN,Sn
149,IS_COMPOSED_OF,C83810,724,419.5,328,30,419.5,65.38,ZINC,Zn
150,IS_COMPOSED_OF,C83810,724,327.5,329,82,327.5,207.2,LEAD,Pb
151,IS_COMPOSED_OF,C83810,724,660.3,322,13,660.3,26.981539,ALUMINUM,Al
152,IS_COMPOSED_OF,C83810,724,1085,319,29,1085,63.546,COPPER,Cu
153,IS_COMPOSED_OF,C83810,724,231.9,326,50,231.9,118.71,TIN,Sn
154,IS_COMPOSED_OF,C83810,724,327.5,329,82,327.5,207.2,LEAD,Pb
155,IS_COMPOSED_OF,C83810,724,1414,333,14,1414,28.0855,SILICON,Si
156,IS_COMPOSED_OF,C83810,724,419.5,328,30,419.5,65.38,ZINC,Zn
157,IS_COMPOSED_OF,C83810,724,1455,327,28,1455,58.6934,NICKEL,Ni
158,IS_COMPOSED_OF,C83810,724,1538,321,26,1538,55.845,IRON,Fe
159,IS_COMPOSED_OF,C84000,725,1455,327,28,1455,58.6934,NICKEL,Ni
160,IS_COMPOSED_OF,C84000,725,1085,319,29,1085,63.546,COPPER,Cu
161,IS_COMPOSED_OF,C84000,725,231.9,326,50,231.9,118.71,TIN,Sn
162,IS_COMPOSED_OF,C84000,725,419.5,328,30,419.5,65.38,ZINC,Zn
163,IS_COMPOSED_OF,C84000,725,1855,436,40,1855,91.224,ZIRCONIUM ,Zr
164,IS_COMPOSED_OF,C84000,725,630.5,331,51,630.5,121.76,ANTIMONY,Sb
165,IS_COMPOSED_OF,C84000,725,1414,333,14,1414,28.0855,SILICON,Si
166,IS_COMPOSED_OF,C84000,725,112.8,943,16,112.8,32.605,SULFUR ,S
167,IS_COMPOSED_OF,C84000,725,660.3,322,13,660.3,26.981539,ALUMINUM,Al
168,IS_COMPOSED_OF,C84000,725,1538,321,26,1538,55.845,IRON,Fe
169,IS_COMPOSED_OF,C84000,725,1455,327,28,1455,58.6934,NICKEL,Ni
170,IS_COMPOSED_OF,C84000,725,231.9,326,50,231.9,118.71,TIN,Sn
171,IS_COMPOSED_OF,C84000,725,1246,330,25,1246,54.938044,MANGANESE,Mn
172,IS_COMPOSED_OF,C84000,725,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
173,IS_COMPOSED_OF,C84000,725,419.5,328,30,419.5,65.38,ZINC,Zn
174,IS_COMPOSED_OF,C84000,725,1085,319,29,1085,63.546,COPPER,Cu
175,IS_COMPOSED_OF,C84000,725,2076,946,5,2076,10.811,BORON,B
176,IS_COMPOSED_OF,C84000,725,327.5,329,82,327.5,207.2,LEAD,Pb
177,IS_COMPOSED_OF,C84010,726,1246,330,25,1246,54.938044,MANGANESE,Mn
178,IS_COMPOSED_OF,C84010,726,419.5,328,30,419.5,65.38,ZINC,Zn
179,IS_COMPOSED_OF,C84010,726,1455,327,28,1455,58.6934,NICKEL,Ni
180,IS_COMPOSED_OF,C84010,726,1085,319,29,1085,63.546,COPPER,Cu
181,IS_COMPOSED_OF,C84010,726,231.9,326,50,231.9,118.71,TIN,Sn
182,IS_COMPOSED_OF,C84010,726,419.5,328,30,419.5,65.38,ZINC,Zn
183,IS_COMPOSED_OF,C84010,726,1414,333,14,1414,28.0855,SILICON,Si
184,IS_COMPOSED_OF,C84010,726,327.5,329,82,327.5,207.2,LEAD,Pb
185,IS_COMPOSED_OF,C84010,726,231.9,326,50,231.9,118.71,TIN,Sn
186,IS_COMPOSED_OF,C84010,726,660.3,322,13,660.3,26.981539,ALUMINUM,Al
187,IS_COMPOSED_OF,C84010,726,1455,327,28,1455,58.6934,NICKEL,Ni
188,IS_COMPOSED_OF,C84010,726,2076,946,5,2076,10.811,BORON,B
189,IS_COMPOSED_OF,C84010,726,630.5,331,51,630.5,121.76,ANTIMONY,Sb
190,IS_COMPOSED_OF,C84010,726,1538,321,26,1538,55.845,IRON,Fe
191,IS_COMPOSED_OF,C84010,726,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
192,IS_COMPOSED_OF,C84010,726,1855,436,40,1855,91.224,ZIRCONIUM ,Zr
193,IS_COMPOSED_OF,C84010,726,1085,319,29,1085,63.546,COPPER,Cu
194,IS_COMPOSED_OF,C84010,726,1246,330,25,1246,54.938044,MANGANESE,Mn
195,IS_COMPOSED_OF,C84010,726,112.8,943,16,112.8,32.605,SULFUR ,S
196,IS_COMPOSED_OF,C84020,727,1455,327,28,1455,58.6934,NICKEL,Ni
197,IS_COMPOSED_OF,C84020,727,419.5,328,30,419.5,65.38,ZINC,Zn
198,IS_COMPOSED_OF,C84020,727,231.9,326,50,231.9,118.71,TIN,Sn
199,IS_COMPOSED_OF,C84020,727,1085,319,29,1085,63.546,COPPER,Cu
200,IS_COMPOSED_OF,C84020,727,419.5,328,30,419.5,65.38,ZINC,Zn
201,IS_COMPOSED_OF,C84020,727,630.5,331,51,630.5,121.76,ANTIMONY,Sb
202,IS_COMPOSED_OF,C84020,727,1455,327,28,1455,58.6934,NICKEL,Ni
203,IS_COMPOSED_OF,C84020,727,231.9,326,50,231.9,118.71,TIN,Sn
204,IS_COMPOSED_OF,C84020,727,3550,947,6,3550,12.0107,CARBON ,C
205,IS_COMPOSED_OF,C84020,727,1538,321,26,1538,55.845,IRON,Fe
206,IS_COMPOSED_OF,C84020,727,327.5,329,82,327.5,207.2,LEAD,Pb
207,IS_COMPOSED_OF,C84020,727,1246,330,25,1246,54.938044,MANGANESE,Mn
208,IS_COMPOSED_OF,C84020,727,1855,436,40,1855,91.224,ZIRCONIUM ,Zr
209,IS_COMPOSED_OF,C84020,727,112.8,943,16,112.8,32.605,SULFUR ,S
210,IS_COMPOSED_OF,C84020,727,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
211,IS_COMPOSED_OF,C84020,727,2076,946,5,2076,10.811,BORON,B
212,IS_COMPOSED_OF,C84020,727,1085,319,29,1085,63.546,COPPER,Cu
213,IS_COMPOSED_OF,C84020,727,1668,320,22,1668,47.867,TITANIUM,Ti
214,IS_COMPOSED_OF,C84030,728,419.5,328,30,419.5,65.38,ZINC,Zn
215,IS_COMPOSED_OF,C84030,728,1085,319,29,1085,63.546,COPPER,Cu
216,IS_COMPOSED_OF,C84030,728,630.5,331,51,630.5,121.76,ANTIMONY,Sb
217,IS_COMPOSED_OF,C84030,728,231.9,326,50,231.9,118.71,TIN,Sn
218,IS_COMPOSED_OF,C84030,728,1455,327,28,1455,58.6934,NICKEL,Ni
