,Target Entity,Relationship,Category_src,Description_src,EDescription_src,GDescription_src,full_community_id_src,name_src,Categorisation_trg,Category_trg,Description_trg,Dimensions_trg,Form_trg,Free_of_trg,Material_trg,Specifications_trg,Title_trg,ewc_trg,finalValue_trg,full_community_id_trg,name_trg,orderCount_trg,startingValue_trg,startingWeight_trg,waste_trg,wastePercentage_trg
22,"waste:19617.0,ewc:[150104 160104 160106 191202],startingWeight:1375710.0,orderCount:52,wastePercentage:1.3,name:ΚΑΤΣΟΥΛΗΣ ΑΓΓΕΛΟΣ ΜΟΝ.ΕΠΕ (ΤΟΜ.ΣΙΔΗ,full_community_id:1240,finalValue:187110.345,startingValue:189210.915",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['[150104 160104 160106 191202]', 'startingWeight']","['187110.345', 'startingValue']","['finalValue', '1240']",['ΚΑΤΣΟΥΛΗΣ ΑΓΓΕΛΟΣ ΜΟΝ.ΕΠΕ (ΤΟΜ.ΣΙΔΗ'],"['wastePercentage', '52']",['189210.915'],"['orderCount', '1375710.0']","['ewc', '19617.0']",['1.3']
23,"waste:275.0,ewc:[191202 191203 160216],startingWeight:21685.0,wastePercentage:1.1,name:ΑΝΑΚΥΚΛΩΣΗ ΑΙΓΑΙΟΥ ΧΥΤΗΡΙΑ ΑΒΕΕ(ΤΟΜ,orderCount:4,full_community_id:1218,finalValue:5414.45,startingValue:5451.924999999999",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[191202 191203 160216]']","['startingValue', '5414.45']","['finalValue', '1218']","['orderCount', 'ΑΝΑΚΥΚΛΩΣΗ ΑΙΓΑΙΟΥ ΧΥΤΗΡΙΑ ΑΒΕΕ(ΤΟΜ']",['4'],['5451.924999999999'],"['wastePercentage', '21685.0']","['275.0', 'ewc']",['1.1']
24,"waste:0.0,ewc:[200135 191202],startingWeight:62100.0,wastePercentage:0.0,name:ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ Α.Ε.,orderCount:8,finalValue:6323.24,full_community_id:1035,startingValue:6323.24",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[200135 191202]']",['6323.24'],"['1035', 'startingValue']","['orderCount', 'ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ Α.Ε.']","['finalValue', '8']",['6323.24'],"['62100.0', 'wastePercentage']","['ewc', '0.0']",['0.0']
25,ewc:[170405 150104 200140 200136 170402 120101 191202 191203 160106 120104,,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,['[170405 150104 200140 200136 170402 120101 191202 191203 160106 120104'],,,,,,,,
26,"waste:0.0,ewc:[200140],startingWeight:251395.0,wastePercentage:0.0,name:ΕΒΙΟΠ ΤΕΜΠΟ ΑΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),orderCount:11,full_community_id:1197,finalValue:63301.01,startingValue:63301.01",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[200140]']","['startingValue', '63301.01']","['finalValue', '1197']","['orderCount', 'ΕΒΙΟΠ ΤΕΜΠΟ ΑΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ)']",['11'],['63301.01'],"['wastePercentage', '251395.0']","['ewc', '0.0']",['0.0']
27,"ewc:[191202],waste:0.0,startingWeight:3600.0,orderCount:1,wastePercentage:0.0,name:ΑΣΣΟ ΑΛΚΥΟΝΗ,full_community_id:1107,finalValue:0.036,startingValue:0.036",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[191202]']","['startingValue', '0.036']","['finalValue', '1107']",['ΑΣΣΟ ΑΛΚΥΟΝΗ'],"['1', 'wastePercentage']",['0.036'],"['orderCount', '3600.0']","['startingWeight', '0.0']",['0.0']
28,"ewc:[191202 191001],waste:77120.0,startingWeight:7379560.0,wastePercentage:1.0,name:ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),orderCount:354,finalValue:1031187.13,full_community_id:1207,startingValue:1043733.855",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[191202 191001]']",['1031187.13'],"['1207', 'startingValue']","['orderCount', 'ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ)']","['finalValue', '354']",['1043733.855'],"['7379560.0', 'wastePercentage']","['77120.0', 'startingWeight']",['1.0']
29,"name:ΠΑΛΑΜΗΔΗΣ Α.Ε.,full_community_id:1070",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,,,['1070'],['ΠΑΛΑΜΗΔΗΣ Α.Ε.'],,,,,
30,"waste:950.0,ewc:[191202],startingWeight:10695.0,wastePercentage:8.9,name:RISE ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ,orderCount:1,full_community_id:1217,finalValue:1607.9250000000002,startingValue:1764.6750000000002",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[191202]']","['1607.9250000000002', 'startingValue']","['finalValue', '1217']","['orderCount', 'RISE ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ']",['1'],['1764.6750000000002'],"['wastePercentage', '10695.0']","['950.0', 'ewc']",['8.9']
31,"waste:5770.0,ewc:[160117 160106 191202 160122],startingWeight:817640.0,wastePercentage:0.9,name:RECYCLING CARS ΜΟΝ.ΙΚΕ (ΤΟΜ.ΣΙΔΗΡΟΥ,orderCount:303,finalValue:130655.925,full_community_id:1270,startingValue:131719.75",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['[160117 160106 191202 160122]', 'startingWeight']",['130655.925'],"['1270', 'startingValue']","['orderCount', 'RECYCLING CARS ΜΟΝ.ΙΚΕ (ΤΟΜ.ΣΙΔΗΡΟΥ']","['finalValue', '303']",['131719.75'],"['817640.0', 'wastePercentage']","['ewc', '5770.0']",['0.9']
