,Relationship,full_community_id_src,name_src,Ar_trg,AtomicNumber_trg,Density_trg,MeltingPoint_trg,Symbol_trg,full_community_id_trg,name_trg
97,IS_COMPOSED_OF,719,C83500,65.38,30,7.13,419.5,Zn,328,ZINC
98,IS_COMPOSED_OF,720,C83520,118.71,50,5.75,231.9,Sn,326,TIN
99,IS_COMPOSED_OF,720,C83520,207.2,82,11.29,327.5,Pb,329,LEAD
100,IS_COMPOSED_OF,720,C83520,118.71,50,5.75,231.9,Sn,326,TIN
101,IS_COMPOSED_OF,720,C83520,63.546,29,8.96,1085,Cu,319,COPPER
102,IS_COMPOSED_OF,720,C83520,121.76,51,6.631,630.5,Sb,331,ANTIMONY
103,IS_COMPOSED_OF,720,C83520,207.2,82,11.29,327.5,Pb,329,LEAD
104,IS_COMPOSED_OF,720,C83520,55.845,26,7.874,1538,Fe,321,IRON
105,IS_COMPOSED_OF,720,C83520,58.6934,28,8.902,1455,Ni,327,NICKEL
106,IS_COMPOSED_OF,721,C83600,63.546,29,8.96,1085,Cu,319,COPPER
107,IS_COMPOSED_OF,721,C83600,207.2,82,11.29,327.5,Pb,329,LEAD
108,IS_COMPOSED_OF,721,C83600,118.71,50,5.75,231.9,Sn,326,TIN
109,IS_COMPOSED_OF,721,C83600,65.38,30,7.13,419.5,Zn,328,ZINC
110,IS_COMPOSED_OF,721,C83600,207.2,82,11.29,327.5,Pb,329,LEAD
111,IS_COMPOSED_OF,721,C83600,58.6934,28,8.902,1455,Ni,327,NICKEL
112,IS_COMPOSED_OF,721,C83600,121.76,51,6.631,630.5,Sb,331,ANTIMONY
113,IS_COMPOSED_OF,721,C83600,30.973762,15,*,44.1,P,942,PHOSPHORUS 
114,IS_COMPOSED_OF,721,C83600,55.845,26,7.874,1538,Fe,321,IRON
115,IS_COMPOSED_OF,721,C83600,28.0855,14,2.33,1414,Si,333,SILICON
116,IS_COMPOSED_OF,721,C83600,32.605,16,*,112.8,S,943,SULFUR 
117,IS_COMPOSED_OF,721,C83600,26.981539,13,2.7,660.3,Al,322,ALUMINUM
118,IS_COMPOSED_OF,721,C83600,63.546,29,8.96,1085,Cu,319,COPPER
119,IS_COMPOSED_OF,721,C83600,65.38,30,7.13,419.5,Zn,328,ZINC
120,IS_COMPOSED_OF,721,C83600,118.71,50,5.75,231.9,Sn,326,TIN
121,IS_COMPOSED_OF,722,C83700,63.546,29,8.96,1085,Cu,319,COPPER
122,IS_COMPOSED_OF,722,C83700,58.6934,28,8.902,1455,Ni,327,NICKEL
123,IS_COMPOSED_OF,722,C83700,74.9216,33,*,816.8,As,944,ARSENIC
124,IS_COMPOSED_OF,722,C83700,28.0855,14,2.33,1414,Si,333,SILICON
125,IS_COMPOSED_OF,722,C83700,207.2,82,11.29,327.5,Pb,329,LEAD
126,IS_COMPOSED_OF,722,C83700,63.546,29,8.96,1085,Cu,319,COPPER
127,IS_COMPOSED_OF,722,C83700,30.973762,15,*,44.1,P,942,PHOSPHORUS 
128,IS_COMPOSED_OF,722,C83700,54.938044,25,7.26,1246,Mn,330,MANGANESE
129,IS_COMPOSED_OF,722,C83700,55.845,26,7.874,1538,Fe,321,IRON
130,IS_COMPOSED_OF,722,C83700,26.981539,13,2.7,660.3,Al,322,ALUMINUM
131,IS_COMPOSED_OF,722,C83700,65.38,30,7.13,419.5,Zn,328,ZINC
