,Relationship,full_community_id_src,name_src,Categorisation_trg,Category_trg,Description_trg,Dimensions_trg,EDescription_trg,Form_trg,Free_of_trg,GDescription_trg,Material_trg,Specifications_trg,Title_trg,full_community_id_trg,name_trg
26,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Scrap castings'],['leaded brass attachments and have less than 0.2% alloyed lead or as agreed between buyer and seller.'],,['Brass'],"[' but are not limited to', 'Alloyed with copper', 'tin', ' CDA 89833/35/36/37/41/42 and 45.', ' and zinc. Examples that meet this pecification include', ' bismuth']",['Lead-Free Bismuth Brass Solids'],['14'],['Ebulent']
27,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Red car boxes (lined journals)'],['Yellow boxes and iron-backed boxes'],,,"['', 'Standard babbitt-lined railroad boxes and/or babbitt-lined car journal bearings']",['Lined Standard Red Car Boxes (Lined Journals)'],['23'],['Ferry']
28,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,['Wire gauge subject to agreement between buyer and seller'],,['Wire '],,,['Copper '],"[' Uncoated', 'Bare', ' Unalloyed']",['No. 1 Copper Wire'],['0'],['Berry']
29,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Condenser tubes'],['Excessive corroded material as mutually agreed'],,['Brass'],['Clean. May be plated or unplated'],['Brass Condenser Tubes'],['46'],['Pales']
30,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Rod turnings (strictly)'],"[' manganese', 'Aluminum', ' Tobin and Muntz metal turnings', ' grindings and babbitts', ' composition']",,['Yellow brass'],"['Not to contain over 3% free iron', ' oil or other moisture; to contain not more than 0.30% tin and not more than 0.15% alloyed iron']",['Yellow Brass Rod Turnings'],['42'],['Night']
31,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Primers'],"['iron', ' corrosion and any other foreign material', ' excessive dirt']",,['Yellow Brass'],"[' burnt or unburnt', 'Clean']",['Yellow Brass Primer'],['32'],['Lark']
32,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Solids '],['Aluminum bronze and silicon bronze.'],,['Manganese bronze'],"[' a lead content of not more than 1%', 'Copper content of not less than 55%']",['Manganese Bronze Solids'],['49'],['Parch']
33,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,"[' grindings', ' residues and slags', ' ashes', 'Miscellaneous skimmings']",['insulated wires; copper chlorides; unprepared tangled material; large motors; pyrophoric material; asbestos brake linings; furnace bottoms; high lead materials; graphite crucibles; and noxious and explosive materials.'],,['Irony brass and copper'],,['Copper-Bearing Scrap'],['11'],['Drove']
34,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,"[' Cuttings', 'Clippings']","['from foreign substances', ' Muntz metal and naval brass']",,['Brass'],"[' to be clean', 'new unleaded yellow brass sheet or plate', ' not to contain more than 10% of clean brass punchings under 1/4 inch']",['New Brass Clipings'],['27'],['Label']
35,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,['not smaller than No. 16 B & S wire gauge (unless smaller wire gauge is mutually agreed upon)'],,['Wire'],,,['Copper'],"[' unalloyed with various types of insulation', 'Uncoated']",['Insulated Copper Wire Scrap'],['12'],['Druid']
36,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Miscellaneous Scrap'],"['excessively leaded', ' soldered copper scrap', ' copper wire from burning', ' reasonable free of ash', ' insulation', ' iron', ' brasses and bronzes; excessive oil content', ' copper tubing with other than copper connections or with sediment', ' tinned', ' brittle burnt wire', ' non-metallics', ' hair wire']",,['Copper '],['Unalloyed'],['No. 2 Copper Solids and Tubing'],['4'],['Cliff']
37,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,"[' rod', ' wire', ' tubes', ' screen', 'Sheet', ' pipe']","[' iron rimmed material and other metals', 'Foreign substances']",,['Nickel Silver'],['Old. Soldered or unsoldered. Must not be trimmed seams alone.'],['Old Nickel Silver'],['36'],['Malic']
38,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Bushings and bearings'],['iron-backed bearings'],,['Brass'],"[' shall contain not less than 12% high tin-base babbitt', 'from automobiles and other machinery']",['null'],['17'],['Elder']
39,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Wire scrap nodules'],,,['Copper '],"['Unalloyed', ' Chopped or shredded. Maximum metal impurities not to exceed 0.50% aluminum and 1% each of other metals or insulation.']",['No. 2 Copper Wire Nodules'],['6'],['Cobra']
40,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Borings'],,,['Brass'],"[' and nickel of not more than 0.75%; the antimony content not to exceed 0.50%.', ' a tin content of not less than 6%', ' exclusive of zinc', 'Copper content of not less than 75%', ' and a lead content of not less than 6% nor more than 11%', ' and the total impurities', ' antimony']",['Machinery or Hard Brass Borings'],['21'],['Erin']
41,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,['Gauge smaller than No. 16 B & S wire subject to agreement between buyer and seller'],,['Wire scrap nodules'],"[' Aluminum', 'Tin', ' Other metallic impurities', ' Lead', ' Zinc', ' other foreign contamination', ' Insulation', ' Iron']",,['[Copper '],"['Uncoated', ' Chopped or Shredded', ' Unalloyed']",['No. 1 Copper Wire Nodules'],['5'],['Clove']
42,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Clippings'],['chrome or any other plating material'],,['Nickel Silver'],['One or more nickel silver alloys the range of nickel content to be specified. Leaded nickel silver clippings should be packed and sold separately. Not to contain more than 10% of clean punchings under 1/4 inch'],['Mixed New Nickel Silver Clippings'],['33'],['Maize']
43,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Tubes'],"[' aluminum alloy and corroded material', 'Nickel alloy']",,['Muntz metal '],"[' sound', ' may be plated or unplated', 'Clean']",['Muntz Metal Tubes'],['48'],['Palms']
44,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,"[' Wire ', 'Miscellaneous']","[' copper wire from burning', ' reasonable free of ash', ' insulation', 'Excessively leaded', ' iron', ' soldered copper wire; brass and bronze wire; excessive oil content', ' tinned', ' brittle burnt wire', ' non-metallics', ' hair wire']",,['Copper '],['Unalloyed'],['No. 2 Copper Wire'],['2'],['Birch']
45,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Condenser tubes'],['Nickel alloy and corroded material'],,['Aluminum Brass'],['Clean. May be plated or unplated'],['Aluminum Brass Condenser Tubes'],['47'],['Pallu']
46,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Clippings'],,,['Nickel Silver'],['Shall consist of one specified nickel silver alloy. Not to contain more than 10% of clean punchings under 1/4 inch.'],['New Segregated Nickel Silver Clippings'],['35'],['Malar']
47,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Castings'],,,['Nickel Silver'],['To be packed and sold separately'],['Nickel Silver Castings'],['38'],['Naggy']
48,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,['Pieces not larger than 12�'],,['Rod ends'],"['Turning brass rods or forging rods', ' Muntz metal and naval brass or any other alloys', ' foreign matter']",,['Yellow brass'],"[' clean', ' not to contain more than 0.3% tin and not mode than 0.15% alloyed iron. ', 'New ']",['Yellow Brass Rod Ends'],['43'],['Noble']
49,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Solids'],,,['Bronze/Brass'],['It is recommended these materials be sold by analysis.'],['High Grade-Low Lead Brass Bushings'],['16'],['Eland']
