,Relationship,Category_src,Description_src,EDescription_src,GDescription_src,full_community_id_src,name_src,Categorisation_trg,Category_trg,Description_trg,Dimensions_trg,Form_trg,Free_of_trg,Material_trg,Specifications_trg,Title_trg,ewc_trg,finalValue_trg,full_community_id_trg,name_trg,orderCount_trg,startingValue_trg,startingWeight_trg,waste_trg,wastePercentage_trg
25,,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,['[170405 150104 200140 200136 170402 120101 191202 191203 160106 120104'],,,,,,,,
26,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[200140]']","['63301.01', 'startingValue']","['1197', 'finalValue']","['ΕΒΙΟΠ ΤΕΜΠΟ ΑΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ)', 'orderCount']",['11'],['63301.01'],"['251395.0', 'wastePercentage']","['0.0', 'ewc']",['0.0']
27,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[191202]']","['startingValue', '0.036']","['1107', 'finalValue']",['ΑΣΣΟ ΑΛΚΥΟΝΗ'],"['1', 'wastePercentage']",['0.036'],"['3600.0', 'orderCount']","['startingWeight', '0.0']",['0.0']
28,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[191202 191001]']",['1031187.13'],"['startingValue', '1207']","['ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ)', 'orderCount']","['finalValue', '354']",['1043733.855'],"['7379560.0', 'wastePercentage']","['startingWeight', '77120.0']",['1.0']
29,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,,,['1070'],['ΠΑΛΑΜΗΔΗΣ Α.Ε.'],,,,,
30,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[191202]']","['1607.9250000000002', 'startingValue']","['1217', 'finalValue']","['RISE ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ', 'orderCount']",['1'],['1764.6750000000002'],"['10695.0', 'wastePercentage']","['950.0', 'ewc']",['8.9']
31,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['[160117 160106 191202 160122]', 'startingWeight']",['130655.925'],"['startingValue', '1270']","['RECYCLING CARS ΜΟΝ.ΙΚΕ (ΤΟΜ.ΣΙΔΗΡΟΥ', 'orderCount']","['finalValue', '303']",['131719.75'],"['817640.0', 'wastePercentage']","['5770.0', 'ewc']",['0.9']
32,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[191202]']","['startingValue', '0.05575']","['1260', 'finalValue']","['ΔΕΗ ΑΝΑΝΕΩΣΙΜΕΣ Α.Ε.(ΤΟΜ.ΣΙΔΗΡΟΥ)', 'orderCount']",['1'],['0.05575'],"['5575.0', 'wastePercentage']","['startingWeight', '0.0']",['0.0']
33,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[200140]']","['startingValue', '0.02']","['finalValue', '1090']",['COCA COLA ΕΛΛΑΣ Α.Ε.'],"['1', 'wastePercentage']",['0.02'],"['2000.0', 'orderCount']","['startingWeight', '0.0']",['0.0']
34,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[191202 200140 170411 170401 200136]']","['startingValue', '63035.045']","['1051', 'finalValue']",['ETEM ΑΕ'],"['48', 'wastePercentage']",['67551.86'],"['283755.0', 'orderCount']","['startingWeight', '24340.0']",['12.6']
